Date,Location,Suspected,Confirmed,Longitude,Latitude
2020-02-05T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-05T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-05T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-05T00:00:00.000000,isabela,0.0,0.0,121.96123653136165,16.987346258001832
2020-02-05T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-05T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-05T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-05T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-06T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-06T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-06T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-06T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-06T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-06T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-06T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-06T00:00:00.000000,tarlac,0.0,0.0,120.47620557496033,15.478348064348085
2020-02-06T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-06T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-07T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-07T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-07T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-07T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-07T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-07T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-07T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-07T00:00:00.000000,tarlac,0.0,0.0,120.47620557496033,15.478348064348085
2020-02-07T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-07T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-08T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-08T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-08T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-08T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-08T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-08T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-08T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-08T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-08T00:00:00.000000,tarlac,0.0,0.0,120.47620557496033,15.478348064348085
2020-02-08T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-10T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-10T00:00:00.000000,tarlac,0.0,0.0,120.47620557496033,15.478348064348085
2020-02-10T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-10T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-10T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-10T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-10T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-10T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-10T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-10T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-12T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-12T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-12T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-12T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-12T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-12T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-12T00:00:00.000000,tarlac,0.0,0.0,120.47620557496033,15.478348064348085
2020-02-12T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-12T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-12T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-13T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-13T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-13T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-13T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-13T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-13T00:00:00.000000,tarlac,0.0,0.0,120.47620557496033,15.478348064348085
2020-02-13T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-13T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-13T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-13T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-14T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-14T00:00:00.000000,tarlac,0.0,0.0,120.47620557496033,15.478348064348085
2020-02-14T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-14T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-14T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-14T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-14T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-14T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-14T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-14T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-15T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-15T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-15T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-15T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-15T00:00:00.000000,tarlac,19.0,0.0,120.47620557496033,15.478348064348085
2020-02-15T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-15T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-15T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-15T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-15T00:00:00.000000,cebu,3.0,1.0,123.75472946661633,10.355054312556009
2020-02-17T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-17T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-17T00:00:00.000000,tarlac,19.0,0.0,120.47620557496033,15.478348064348085
2020-02-17T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-17T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-17T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-17T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-17T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-17T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-17T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-19T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-19T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-19T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-19T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-19T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-19T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-19T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-19T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-19T00:00:00.000000,tarlac,19.0,0.0,120.47620557496033,15.478348064348085
2020-02-19T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-20T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-20T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-20T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-20T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-20T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-20T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-20T00:00:00.000000,tarlac,3.0,0.0,120.47620557496033,15.478348064348085
2020-02-20T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-20T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-20T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-21T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-21T00:00:00.000000,tarlac,3.0,0.0,120.47620557496033,15.478348064348085
2020-02-21T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-21T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-21T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-21T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-21T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-21T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-21T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-21T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-22T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-22T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-22T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-22T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-22T00:00:00.000000,tarlac,3.0,0.0,120.47620557496033,15.478348064348085
2020-02-22T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-22T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-22T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-22T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-22T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-23T00:00:00.000000,tarlac,3.0,0.0,120.47620557496033,15.478348064348085
2020-02-23T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-23T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-23T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-23T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-23T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-23T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-23T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-23T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-23T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-24T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-24T00:00:00.000000,tarlac,3.0,0.0,120.47620557496033,15.478348064348085
2020-02-24T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-24T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-24T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-24T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-24T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-24T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-24T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-24T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-25T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-25T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-25T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-25T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-25T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-25T00:00:00.000000,tarlac,10.0,0.0,120.47620557496033,15.478348064348085
2020-02-25T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-25T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-25T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-02-25T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-28T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-02-28T00:00:00.000000,tarlac,10.0,0.0,120.47620557496033,15.478348064348085
2020-02-28T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
2020-02-28T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-02-28T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-02-28T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-02-28T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-02-28T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-02-28T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-02-28T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-03-01T00:00:00.000000,bulacan,0.0,0.0,121.0578718508016,14.978775752501043
2020-03-01T00:00:00.000000,quezon,0.0,1.0,121.9620781740288,14.16652395085388
2020-03-01T00:00:00.000000,isabela,0.0,1.0,121.96123653136165,16.987346258001832
2020-03-01T00:00:00.000000,tarlac,10.0,0.0,120.47620557496033,15.478348064348085
2020-03-01T00:00:00.000000,batangas,0.0,0.0,121.03136855463036,13.891920116590907
2020-03-01T00:00:00.000000,guimaras,0.0,0.0,122.61409061986909,10.568794513973854
2020-03-01T00:00:00.000000,sorsogon,0.0,0.0,123.9285620095986,12.85432727088445
2020-03-01T00:00:00.000000,cebu,2.0,1.0,123.75472946661633,10.355054312556009
2020-03-01T00:00:00.000000,aklan,0.0,0.0,122.24801950796716,11.609596407309311
2020-03-01T00:00:00.000000,rizal,0.0,1.0,121.26254142656285,14.617403000048624
